Date,Open,High,Low,Close,Volume
2024-01-01,2485.53,2508.67,2479.44,2493.91,7495304
2024-01-02,2481.58,2500.23,2471.38,2479.6,3720977
2024-01-03,2467.23,2483.92,2455.87,2477.56,7743369
2024-01-04,2457.77,2478.82,2438.55,2464.41,7841090
2024-01-05,2457.13,2476.25,2443.78,2467.94,4117151
2024-01-08,2452.41,2467.71,2442.78,2460.94,8721053
2024-01-09,2452.03,2466.61,2439.49,2450.07,7594813
2024-01-10,2459.91,2474.2,2445.92,2458.37,7460392
2024-01-11,2451.99,2470.24,2440.2,2456.45,5514627
2024-01-12,2440.44,2464.82,2434.21,2448.12,5518672
2024-01-15,2458.84,2474.78,2440.51,2449.83,3614053
2024-01-16,2434.94,2453.26,2427.66,2436.9,7101719
2024-01-17,2446.01,2452.17,2421.55,2434.92,5631904
2024-01-18,2426.41,2442.45,2409.45,2430.0,3576825
2024-01-19,2453.76,2465.88,2428.13,2443.09,3508932
2024-01-22,2447.68,2465.92,2432.47,2452.25,6738305
2024-01-23,2442.59,2460.36,2437.25,2445.33,6872980
2024-01-24,2443.6,2456.01,2432.67,2440.94,5411153
2024-01-25,2422.33,2439.26,2404.26,2428.39,3675964
2024-01-26,2414.79,2426.32,2407.74,2417.15,6611477
2024-01-29,2425.62,2442.17,2415.24,2430.94,6191372
2024-01-30,2439.69,2455.71,2431.21,2448.07,4957364
2024-01-31,2439.06,2446.79,2421.88,2431.11,4222022
2024-02-01,2425.62,2442.26,2406.33,2428.76,8792280
2024-02-02,2453.02,2467.85,2426.12,2442.22,6830605
2024-02-05,2463.7,2481.82,2440.01,2456.98,6291512
2024-02-06,2451.11,2465.87,2440.1,2453.65,4598948
2024-02-07,2431.37,2445.79,2421.27,2438.36,3441036
2024-02-08,2425.88,2438.93,2405.04,2424.28,8148401
2024-02-09,2416.37,2430.58,2400.15,2407.38,5116091
2024-02-12,2426.27,2438.38,2417.09,2423.82,7094211
2024-02-13,2440.75,2453.82,2434.46,2441.56,3857211
2024-02-14,2456.27,2468.45,2435.12,2450.5,7331327
2024-02-15,2444.06,2456.99,2426.04,2433.24,7556460
2024-02-16,2454.21,2463.68,2433.37,2448.02,3763451
2024-02-19,2449.11,2465.34,2441.6,2454.84,4868921
2024-02-20,2462.45,2472.4,2447.41,2455.75,4637003
2024-02-21,2474.13,2490.22,2458.08,2466.49,7342268
2024-02-22,2471.46,2491.31,2449.07,2465.92,6961436
2024-02-23,2461.55,2480.89,2445.22,2456.92,5931983
2024-02-26,2469.71,2481.26,2461.3,2472.96,4650090
2024-02-27,2466.35,2486.54,2452.19,2466.76,3016008
2024-02-28,2469.35,2486.35,2459.41,2465.68,8541394
2024-02-29,2448.98,2467.33,2440.99,2451.66,4497548
2024-03-01,2452.21,2458.52,2429.76,2448.95,6320533
2024-03-04,2453.2,2459.48,2439.98,2447.36,4065675
2024-03-05,2432.3,2444.28,2415.28,2430.12,8130248
2024-03-06,2453.19,2468.05,2431.41,2441.66,7602494
2024-03-07,2431.74,2460.22,2415.85,2443.23,3862114
2024-03-08,2454.46,2465.96,2425.97,2444.05,4770351
2024-03-11,2420.15,2439.56,2403.7,2427.05,5734596
2024-03-12,2416.47,2425.38,2397.82,2418.42,5967755
2024-03-13,2436.72,2453.94,2420.07,2432.82,7208136
2024-03-14,2411.3,2432.31,2393.21,2419.66,4536020
2024-03-15,2430.37,2437.62,2416.62,2423.74,8193397
2024-03-18,2433.54,2443.43,2419.41,2432.18,7659384
2024-03-19,2438.57,2456.81,2426.08,2431.93,4604792
2024-03-20,2430.86,2443.48,2410.9,2424.33,3531576
2024-03-21,2425.46,2438.04,2410.08,2422.76,8811048
2024-03-22,2415.45,2432.56,2402.64,2415.26,5077487
2024-03-25,2432.11,2451.24,2414.18,2423.07,7693541
2024-03-26,2430.75,2449.61,2419.5,2437.89,6291390
2024-03-27,2426.26,2445.13,2420.17,2436.52,8615939
2024-03-28,2421.1,2446.82,2402.01,2430.17,8397716
2024-03-29,2428.14,2454.95,2408.62,2436.71,4842036
2024-04-01,2436.67,2464.69,2429.23,2446.41,8602188
2024-04-02,2451.1,2470.7,2438.36,2459.22,5844712
2024-04-03,2453.79,2463.62,2443.3,2457.23,5835179
2024-04-04,2458.6,2465.3,2448.63,2460.03,8233879
2024-04-05,2464.57,2471.27,2434.74,2453.52,4917248
2024-04-08,2461.83,2480.3,2456.24,2471.32,4522963
2024-04-09,2454.97,2475.19,2436.3,2463.86,5169369
2024-04-10,2462.13,2474.85,2448.83,2461.25,5743481
2024-04-11,2436.61,2462.56,2425.23,2447.23,3607453
2024-04-12,2428.05,2445.97,2419.14,2439.64,8101761
2024-04-15,2442.69,2471.03,2430.88,2453.09,5845011
2024-04-16,2469.5,2490.2,2455.17,2471.47,3362435
2024-04-17,2466.7,2479.62,2459.28,2472.98,3422615
2024-04-18,2472.37,2486.8,2449.03,2462.0,4726975
2024-04-19,2454.89,2462.56,2444.68,2454.89,3152363
2024-04-22,2461.88,2478.27,2449.3,2473.0,4589276
2024-04-23,2467.66,2485.47,2452.79,2473.76,8453484
2024-04-24,2471.41,2489.05,2460.51,2471.53,7250389
2024-04-25,2457.93,2473.21,2449.95,2464.76,8928442
2024-04-26,2464.46,2492.95,2444.73,2473.11,4088997
2024-04-29,2458.6,2476.8,2444.13,2455.59,3464738
2024-04-30,2448.74,2466.8,2425.49,2440.55,5365027
2024-05-01,2448.62,2454.29,2436.21,2443.99,5256843
2024-05-02,2436.2,2461.31,2416.61,2441.89,7589184
2024-05-03,2424.17,2453.58,2415.9,2435.34,4534762
2024-05-06,2414.26,2429.22,2401.72,2417.1,4685942
2024-05-07,2414.37,2420.73,2390.48,2407.74,4206828
2024-05-08,2392.8,2409.14,2383.24,2403.8,4952948
2024-05-09,2399.49,2417.29,2381.18,2388.51,8004302
2024-05-10,2380.02,2403.96,2372.78,2384.19,8190091
2024-05-13,2378.05,2406.53,2359.67,2389.0,8262443
2024-05-14,2390.94,2403.52,2367.46,2386.11,7230971
2024-05-15,2395.76,2401.0,2372.95,2388.25,8965861
2024-05-16,2399.15,2407.6,2389.05,2394.51,4116466
2024-05-17,2410.18,2420.83,2387.38,2399.15,3425976
2024-05-20,2406.56,2421.77,2391.19,2403.53,3027802
